STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_H01,MESURE_H02,MESURE_H03,MESURE_H04,MESURE_H05,MESURE_H06,MESURE_H07,MESURE_H08,MESURE_H09,MESURE_H10,MESURE_H11,MESURE_H12,MESURE_H13,MESURE_H14,MESURE_H15,MESURE_H16,MESURE_H17,MESURE_H18,MESURE_H19,MESURE_H20,MESURE_H21,MESURE_H22,MESURE_H23,MESURE_H24,MES_H_MINI,MES_H_MAXI,MOYENNE_JOUR
Bordeaux - Bastide,PM10,2012-05-29,17,18,17,18,20,23,25,25,28,27,29,24,42,43,37,39,44,50,62,51,30,11,25,,11,62,31
Bordeaux - Bastide,PM10,2012-05-30,,,,,,,,,,,,,,31,39,33,32,32,33,31,28,21,15,15,15,39,28
Bordeaux - Bastide,PM10,2012-05-31,16,15,16,18,17,18,20,33,45,26,31,26,34,36,33,29,30,30,36,36,33,29,25,21,15,45,27
Bordeaux - Bastide,PM10,2012-06-01,21,23,25,23,21,26,26,30,31,35,34,39,45,40,44,27,23,20,23,23,32,29,24,17,17,45,28
Bordeaux - Bastide,PM10,2012-06-02,17,20,20,19,18,22,23,30,34,32,30,27,29,32,34,37,33,29,34,34,37,26,19,19,17,37,27
Bordeaux - Bastide,PM10,2012-06-03,23,18,21,22,17,12,12,13,13,14,17,18,16,10,13,13,12,13,14,14,15,15,14,15,10,23,15
Bordeaux - Bastide,PM10,2012-06-04,16,15,15,15,15,17,18,22,18,19,19,16,20,19,19,16,19,16,15,15,14,16,16,16,14,22,17
Bordeaux - Bastide,PM10,2012-06-05,17,15,16,18,21,28,36,33,23,23,19,20,18,38,24,23,27,23,22,20,21,18,32,18,15,38,23
Bordeaux - Bastide,PM10,2012-06-06,9,8,7,5,9,15,26,29,23,16,20,17,16,13,16,18,19,20,21,25,26,18,18,16,5,29,17
Bordeaux - Bastide,PM10,2012-06-07,16,16,14,15,19,26,33,33,37,32,23,18,20,26,22,21,20,22,16,12,15,15,14,15,12,37,21
Bordeaux - Bastide,PM10,2012-06-08,18,20,21,21,21,24,26,31,27,28,23,21,25,28,24,27,26,19,22,22,21,21,20,19,18,31,23
